COD_INE;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD;HABITANTES;HOMBRES;MUJERES;TOTAL_PARO;H25;H25_44;H45;M25;M25_44;M45;AGRICULTURA;INDUSTRIA;CONSTRUCCION;SERVICIOS;SINEMPLEOANTERIOR;AÑO;EDAD_MEDIA;de0-18;de19-67;masde68;de0-12
02042000000;02410;02;ALBACETE;LETUR;26356.0627;81881.0;-2.10096881;38.36632081;735.0;948.0;461.0;487.0;153;6;9;47;6;22;63;9;4;14;123;3;2017;50.77848101;110;588;250;54
02043000000;02420;02;ALBACETE;LEZUZA;36090.3503;86191.0;-2.35387427;38.94878996;913.0;1412.0;729.0;683.0;119;3;18;28;5;21;44;29;16;7;55;12;2017;49.92917847;152;879;381;82
02044000000;02430;02;ALBACETE;LIÉTOR;31178.91;78803.0;-1.95479319;38.54083745;641.0;1240.0;646.0;594.0;196;12;17;35;9;40;83;31;9;12;135;9;2017;51.23790323;139;741;360;79
02045000000;02440;02;ALBACETE;MADRIGUERAS;7334.55;35851.0;-1.7997012;39.23680339;688.0;4647.0;2391.0;2256.0;402;15;61;76;12;85;153;99;61;90;130;22;2017;44.6832365;782;2926;939;545
02046000000;02450;02;ALBACETE;MAHORA;10814.91;48081.0;-1.72481837;39.21303088;663.0;1360.0;698.0;662.0;138;10;11;34;0;43;40;29;15;44;47;3;2017;45.21544118;217;863;280;151
02047000000;02460;02;ALBACETE;MASEGOSO;10387.0257;42914.0;-2.31511768;38.71877813;1108.0;115.0;63.0;52.0;6;-1;1;1;1;1;2;-1;1;-1;5;-1;2017;61.71304348;4;62;49;3
02048000000;02470;02;ALBACETE;MINAYA;6983.1234;44098.0;-2.31961973;39.27118701;723.0;1538.0;809.0;729.0;108;4;9;23;4;30;38;19;6;42;35;6;2017;48.90962289;189;959;390;125
02049000000;02480;02;ALBACETE;MOLINICOS;14358.8298;71840.0;-2.23898151;38.46778179;851.0;863.0;442.0;421.0;83;2;12;20;3;12;34;6;3;4;68;2;2017;56.22943221;64;472;327;40
02050000000;02490;02;ALBACETE;MONTALVOS;2477.9315;23450.0;-2.02769341;39.16721439;709.0;102.0;56.0;46.0;2;-1;1;1;-1;0;-1;0;-1;-1;2;-1;2017;56.57843137;6;63;33;6
02051000000;02500;02;ALBACETE;MONTEALEGRE DEL CASTILLO;17779.3485;54887.0;-1.32487672;38.78717469;810.0;2057.0;1043.0;1014.0;161;7;28;20;9;51;46;16;51;7;69;18;2017;47.104035;304;1277;476;183
02052000000;02510;02;ALBACETE;MOTILLEJA;2382.44;24700.0;-1.79025762;39.17948885;676.0;549.0;293.0;256.0;53;2;8;13;0;9;21;10;2;5;30;6;2017;49.22040073;70;340;139;42
02053000000;02520;02;ALBACETE;MUNERA;22942.7623;58755.0;-2.4830388;39.03954575;929.0;3572.0;1817.0;1755.0;248;8;30;32;8;60;110;48;19;79;87;15;2017;46.29003359;560;2222;790;332
02054000000;02530;02;ALBACETE;NAVAS DE JORQUERA;4225.9722;26041.0;-1.7189485;39.28099513;708.0;523.0;270.0;253.0;51;6;6;11;1;7;20;14;4;13;14;6;2017;46.73422562;62;337;124;41
02055000000;02540;02;ALBACETE;NERPIO;43578.1242;98049.0;-2.30224029;38.14824043;1085.0;1277.0;700.0;577.0;147;6;20;38;5;20;58;13;9;14;105;6;2017;50.67188724;160;746;371;86
02056000000;02550;02;ALBACETE;ONTUR;5438.1594;30462.0;-1.49888166;38.61472661;653.0;2072.0;1037.0;1035.0;173;7;35;30;10;42;49;38;20;12;95;8;2017;47.40733591;291;1278;503;189
02057000000;02560;02;ALBACETE;OSSA DE MONTIEL;24350.2479;69150.0;-2.74272664;38.96201035;898.0;2411.0;1191.0;1220.0;265;8;24;58;15;65;95;18;37;13;190;7;2017;46.77353795;349;1522;540;227
02058000000;02570;02;ALBACETE;PATERNA DEL MADERA;11233.8382;53946.0;-2.34555766;38.59729435;1126.0;359.0;192.0;167.0;34;1;3;7;1;8;14;3;16;3;11;1;2017;55.30083565;28;211;120;18
02059000000;02590;02;ALBACETE;PEÑASCOSA;18925.8047;106221.0;-2.41040499;38.67153536;1169.0;328.0;177.0;151.0;27;3;6;2;0;7;9;5;1;1;18;2;2017;54.10670732;21;207;100;13
02060000000;02580;02;ALBACETE;PEÑAS DE SAN PEDRO;15872.36;73286.0;-2.00212787;38.72688881;1010.0;1436.0;836.0;600.0;106;5;12;30;4;23;32;8;10;6;75;7;2017;50.71587744;112;967;357;70
02061000000;02600;02;ALBACETE;PÉTROLA;7460.7346;40804.0;-1.55549981;38.82629814;870.0;719.0;368.0;351.0;46;2;13;10;1;8;12;4;9;3;26;4;2017;53.13212796;68;427;224;41
02062000000;02610;02;ALBACETE;POVEDILLA;4942.7325;35557.0;-2.60393627;38.70163971;872.0;452.0;243.0;209.0;52;2;7;12;0;7;24;8;8;9;26;1;2017;52.15707965;38;290;124;22
